id,Gender,customer_type,age,type_of_travel,customer_class,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,onboard_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
94031,Male,Loyal Customer,32,Business travel,Business,1389,2,2,2,2,5,5,5,5,4,5,5,5,5,5,67,79,satisfied
81130,Male,Loyal Customer,18,Business travel,Business,3456,2,2,2,2,4,4,4,4,4,2,1,3,3,4,0,0,satisfied
1431,Female,Loyal Customer,43,Business travel,Business,2899,0,0,0,5,4,5,5,2,2,2,2,3,2,4,6,0,satisfied
42411,NA,Loyal Customer,53,Business travel,Business,2694,1,1,1,1,3,5,4,4,4,4,4,3,4,3,0,0,satisfied
33339,Female,Loyal Customer,25,Business travel,Eco,2419,5,5,5,5,5,5,4,5,3,3,5,3,4,5,3,2,satisfied
67187,Female,Loyal Customer,58,Personal Travel,Eco,421,0,3,0,3,3,3,3,4,4,0,4,3,4,3,0,0,satisfied
35863,Male,Loyal Customer,51,Business travel,Business,3912,5,5,5,5,4,5,4,4,4,4,4,3,4,5,0,0,satisfied
57008,NA,Loyal Customer,42,Business travel,Business,1024,2,2,3,2,2,4,4,4,4,4,4,4,4,3,50,42,satisfied
64748,Male,Loyal Customer,44,Business travel,Business,946,1,1,1,1,2,5,4,5,5,5,5,3,5,4,8,5,satisfied
114440,Male,Loyal Customer,29,Business travel,Business,403,1,1,1,1,5,5,5,5,3,1,3,2,4,5,21,4,satisfied
2067,Female,Loyal Customer,35,Business travel,Business,577,2,2,2,2,5,5,4,4,4,4,4,5,4,5,21,7,satisfied
74196,Female,Loyal Customer,38,Business travel,Business,2861,5,5,5,5,3,5,5,5,5,5,5,5,5,5,19,12,satisfied
83524,Male,Loyal Customer,60,Business travel,Business,2400,3,3,4,3,2,5,4,5,5,4,5,3,5,5,0,1,satisfied
