id,gender,customer_type,age,type_of_travel,customer_class,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,onboard_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
10046,male,loyal_customer,50,personal_travel,eco,101,3,5,3,5,2,3,2,2,5,5,5,4,5,2,0,1,not_satisfied
89351,female,loyal_customer,30,personal_travel,eco,860,3,5,3,2,2,NA,2,2,1,1,5,4,2,2,0,0,not_satisfied
63718,male,loyal_customer,52,business_travel,business,3153,2,3,3,3,4,2,3,2,2,2,2,3,2,1,0,0,not_satisfied
106347,male,disloyal_customer,24,business_travel,eco,649,3,2,3,2,4,3,4,4,2,4,3,1,3,4,19,30,not_satisfied
87171,NA,loyal_customer,38,business_travel,business,261,3,3,3,3,1,4,3,3,3,3,3,1,3,1,0,0,not_satisfied
18881,female,loyal_customer,57,business_travel,business,2665,2,2,2,2,3,3,3,2,2,2,2,1,2,1,22,11,not_satisfied
71312,NA,loyal_customer,49,business_travel,eco,1013,3,3,3,3,3,4,3,3,3,3,3,1,3,2,0,0,not_satisfied
48908,female,disloyal_customer,27,business_travel,business,290,2,2,2,3,4,2,5,4,2,5,2,4,3,4,0,0,not_satisfied
121125,NA,loyal_customer,20,personal_travel,eco,259,2,1,2,2,2,2,1,2,4,2,2,1,2,2,14,19,not_satisfied
82854,female,loyal_customer,53,personal_travel,eco,116,2,3,2,3,3,2,2,5,5,2,5,2,5,4,72,66,not_satisfied
70749,NA,loyal_customer,44,business_travel,eco,403,4,2,2,2,4,4,4,4,3,2,3,3,4,4,15,27,not_satisfied
97952,NA,disloyal_customer,40,business_travel,business,2521,2,2,2,4,2,3,3,2,1,4,4,3,1,3,4,0,not_satisfied
84104,NA,disloyal_customer,27,business_travel,eco,2342,1,1,1,3,2,1,2,2,4,3,2,4,3,2,0,2,not_satisfied
2907,female,disloyal_customer,35,business_travel,eco,770,2,2,2,4,2,2,2,2,4,2,3,1,4,2,0,0,not_satisfied
66882,female,loyal_customer,24,personal_travel,eco,484,3,0,3,5,3,3,3,3,4,5,4,3,4,3,20,0,not_satisfied
73318,female,loyal_customer,31,personal_travel,eco,493,4,5,4,4,4,4,4,4,3,5,5,5,5,4,0,1,not_satisfied
48333,NA,loyal_customer,51,business_travel,eco,912,1,0,0,4,1,1,1,1,1,4,3,4,4,1,9,23,not_satisfied
71119,NA,loyal_customer,58,personal_travel,eco,631,2,5,2,5,3,2,3,3,4,3,5,5,4,3,0,0,not_satisfied
84688,female,loyal_customer,52,business_travel,eco,325,4,1,1,1,4,4,4,3,2,4,4,4,2,4,152,181,not_satisfied
107613,female,loyal_customer,38,business_travel,business,192,2,5,5,5,2,3,4,2,2,2,2,1,2,4,0,3,not_satisfied
87193,female,loyal_customer,52,personal_travel,eco,719,1,4,1,3,2,5,4,2,2,1,2,5,2,5,0,0,not_satisfied
51820,female,loyal_customer,43,personal_travel,business,374,3,4,3,3,3,4,1,5,5,3,5,4,5,1,0,0,not_satisfied
21059,NA,loyal_customer,45,personal_travel,eco,2149,2,4,2,4,5,4,4,5,5,2,2,4,5,4,7,0,not_satisfied
8336,female,loyal_customer,32,business_travel,business,1635,4,1,5,1,4,4,4,4,4,1,4,3,3,4,4,0,not_satisfied
8100,female,loyal_customer,8,business_travel,eco_plus,788,3,1,1,1,3,3,2,3,3,2,4,1,4,3,0,8,not_satisfied
2114,female,loyal_customer,13,business_travel,business,930,4,3,5,3,4,4,4,4,3,2,4,4,4,4,8,0,not_satisfied
65813,female,loyal_customer,9,personal_travel,eco,237,1,1,1,3,3,1,3,3,3,3,4,1,3,3,0,0,not_satisfied
88412,male,loyal_customer,57,personal_travel,business,1452,1,5,1,3,5,5,5,5,5,1,5,5,5,5,0,0,not_satisfied
44456,male,loyal_customer,10,personal_travel,eco,550,2,4,2,4,4,2,1,4,NA,1,3,4,3,4,0,0,not_satisfied
103760,male,disloyal_customer,15,business_travel,eco,1024,2,2,2,4,5,NA,5,5,4,4,4,4,3,5,0,0,not_satisfied
21937,female,loyal_customer,11,personal_travel,eco,534,3,5,2,3,2,2,5,2,5,4,4,5,5,2,0,0,not_satisfied
47429,male,loyal_customer,47,personal_travel,eco,226,2,4,2,3,5,2,5,5,4,4,5,3,4,5,3,0,not_satisfied
