total_bill,customer_sex,smoker,day,time,group_size,tip_percentage,server_sex,customer_age,any_children,ordered_dessert,number_drinks
7.25,Male,Yes,Sun,Dinner,2,71.03448276,Female,63.9642042,Yes,No,0
9.6,Female,Yes,Sun,Dinner,2,41.66666667,Male,55.12559811,No,No,0
3.07,Female,Yes,Sat,Dinner,1,32.5732899,Male,45.32489632,No,No,0
11.61,Male,No,Sat,Dinner,2,29.19896641,Male,47.81858294,No,No,2
23.17,Male,Yes,Sun,Dinner,4,28.05351748,Female,43.99297952,No,No,0
14.31,Female,Yes,Sat,Dinner,2,27.95248078,Male,53.97953456,No,No,0
7.51,Male,No,Thur,Lunch,2,26.63115846,Male,46.76010831,No,Yes,0
16.32,Female,Yes,Fri,Dinner,2,26.34803922,Male,47.01703622,No,No,5
13.42,Female,Yes,Fri,Lunch,2,25.9314456,Male,51.10506632,Yes,Yes,1
10.29,Female,No,Sun,Dinner,2,25.26724976,Female,43.20166074,No,Yes,0
23.33,Male,Yes,Sun,Dinner,2,24.21774539,Male,41.64758924,No,Yes,1
20.69,Male,No,Sun,Dinner,5,24.1662639,Male,38.07642408,Yes,No,0
16.58,Male,Yes,Thur,Lunch,2,24.12545235,Male,37.87986736,No,No,0
16.82,Male,Yes,Sun,Dinner,2,23.78121284,Male,49.54031712,No,Yes,4
24.71,Male,No,Thur,Lunch,2,23.67462566,Female,34.56318093,No,No,0
28.17,Female,Yes,Sat,Dinner,3,23.0741924,Female,51.75719954,No,No,0
8.77,Male,No,Sun,Dinner,2,22.8050171,Male,43.05879544,Yes,Yes,0
16.29,Male,No,Sun,Dinner,3,22.77470841,Male,44.90554935,No,No,0
17.92,Male,No,Sat,Dinner,2,22.76785714,Male,43.58427132,No,Yes,0
22.23,Male,No,Sun,Dinner,2,22.49212776,Female,47.91466664,No,Yes,0
8.58,Male,Yes,Fri,Lunch,1,22.37762238,Male,38.74901082,No,No,0
11.35,Female,Yes,Fri,Dinner,2,22.02643172,Male,45.63679869,No,No,0
13.94,Male,No,Sun,Dinner,2,21.95121951,Male,42.203917,No,No,0
18.28,Male,No,Thur,Lunch,2,21.88183807,Female,51.52995183,Yes,Yes,1
14.78,Male,No,Sun,Dinner,2,21.85385656,Female,48.60327722,No,No,0
14,Male,No,Sat,Dinner,2,21.42857143,Male,54.16278356,No,Yes,0
18.71,Male,Yes,Thur,Lunch,3,21.37894174,Male,47.51257451,No,No,0
19.81,Female,Yes,Thur,Lunch,2,21.15093387,Male,47.95270166,No,No,1
13.16,Female,No,Thur,Lunch,2,20.89665653,Female,51.73236289,No,No,0
16.97,Female,No,Sun,Dinner,3,20.6246317,Female,50.08249763,No,No,0
18.24,Male,No,Sat,Dinner,2,20.61403509,Male,45.74292625,Yes,No,0
18.29,Male,Yes,Sat,Dinner,4,20.55768179,Male,49.7812383,No,No,0
13.28,Male,No,Sat,Dinner,2,20.48192771,Male,43.1677736,No,No,0
16.66,Male,No,Thur,Lunch,2,20.40816327,Male,49.78638495,No,No,0
29.03,Male,No,Sat,Dinner,3,20.39269721,Male,49.98701167,Yes,No,0
14.83,Female,No,Sun,Dinner,2,20.36412677,Male,44.59676375,No,No,0
17.31,Female,No,Sun,Dinner,2,20.21952629,Male,38.1046743,No,No,0
12.48,Female,No,Thur,Lunch,2,20.19230769,Female,51.19506601,No,Yes,0
17.47,Female,No,Thur,Lunch,2,20.03434459,Female,43.14840649,No,No,0
15.81,Male,Yes,Sat,Dinner,2,19.98734978,Male,59.16869684,No,Yes,0
12.54,Male,No,Sun,Dinner,2,19.93620415,Male,50.78051278,Yes,Yes,0
25.89,Male,Yes,Sat,Dinner,4,19.93047509,Female,43.1777317,No,No,0
15.06,Female,No,Sat,Dinner,2,19.92031873,Female,59.45011669,No,Yes,0
10.09,Female,Yes,Fri,Lunch,2,19.82160555,Male,52.29564196,No,Yes,0
21.7,Male,No,Sat,Dinner,2,19.8156682,Female,46.00657629,No,Yes,0
20.49,Male,Yes,Sat,Dinner,2,19.81454368,Female,41.52759437,Yes,No,0
25.28,Female,Yes,Sat,Dinner,2,19.77848101,Male,42.79812815,Yes,No,1
11.69,Male,No,Thur,Lunch,2,19.76047904,Male,53.42423008,No,No,0
12.66,Male,No,Sun,Dinner,2,19.74723539,Male,49.48671617,Yes,Yes,0
50.81,Male,Yes,Sat,Dinner,3,19.68116512,Male,44.49527906,No,No,0
16.47,Female,Yes,Thur,Lunch,3,19.61141469,Female,45.3061251,No,Yes,0
34.3,Male,No,Thur,Lunch,6,19.5335277,Female,41.30756729,No,Yes,0
15.38,Female,Yes,Fri,Dinner,2,19.50585176,Female,40.68221559,No,No,0
20.92,Female,No,Sat,Dinner,2,19.50286807,Male,46.62982314,Yes,No,0
13.39,Female,No,Sun,Dinner,2,19.49215833,Male,47.43868763,No,No,0
20.53,Male,Yes,Thur,Lunch,4,19.48368242,Female,47.69513814,No,Yes,0
10.33,Female,No,Thur,Lunch,2,19.36108422,Female,29.59622248,No,No,0
10.34,Male,Yes,Thur,Lunch,2,19.34235977,Male,44.47905809,Yes,No,0
15.53,Male,Yes,Sat,Dinner,2,19.3174501,Male,48.11134891,No,No,0
18.15,Female,Yes,Sun,Dinner,3,19.28374656,Female,47.49715189,No,No,2
39.42,Male,No,Sat,Dinner,4,19.22881786,Male,55.70478887,Yes,Yes,0
15.69,Male,Yes,Sat,Dinner,3,19.12045889,Female,44.50892381,Yes,No,0
7.56,Male,No,Thur,Lunch,2,19.04761905,Female,47.3959888,No,Yes,0
13.27,Female,Yes,Sat,Dinner,2,18.83948757,Male,38.92232725,No,No,0
10.63,Female,Yes,Sat,Dinner,2,18.81467545,Female,41.23865561,Yes,Yes,0
15.98,Female,No,Fri,Lunch,3,18.77346683,Male,37.24848205,No,No,0
25.29,Male,No,Sun,Dinner,4,18.62396204,Male,47.64627562,No,No,1
48.33,Male,No,Sat,Dinner,4,18.62197393,Male,39.37565459,No,No,0
7.74,Male,Yes,Sat,Dinner,2,18.60465116,Male,46.66140145,No,No,0
32.4,Male,No,Sun,Dinner,4,18.51851852,Female,43.50294557,Yes,Yes,0
27.05,Female,No,Thur,Lunch,6,18.48428835,Female,50.01595877,No,Yes,0
